hour,nodes,edges,replies,retweets,quotes,interactions,independent,neutral,positive,negative,ntweets,per_neutral,per_positive,per_negative,indeg_pos,indeg_neg,indeg_neu
2016-05-15_11,35421,50904,116,974,64,1154,348,444,663,395,1502,0.2956058588548602,0.4414114513981358,0.262982689747004,13062.0,4054.0,4116.0
2016-05-15_12,35893,51881,150,1015,53,1218,306,528,649,347,1524,0.3464566929133858,0.4258530183727034,0.22769028871391075,13275.0,4209.0,4170.0
2016-05-15_13,36311,52758,108,1003,43,1154,264,540,644,234,1418,0.38081805359661497,0.4541607898448519,0.16502115655853314,13548.0,4378.0,4227.0
2016-05-15_14,36703,53576,108,885,35,1028,238,453,632,181,1266,0.3578199052132701,0.49921011058451814,0.1429699842022117,13785.0,4490.0,4262.0
2016-05-15_15,37086,54424,90,940,43,1073,204,479,538,260,1277,0.375097885669538,0.42129992169146435,0.20360219263899765,14010.0,4667.0,4304.0
2016-05-15_16,37425,55194,98,886,48,1032,219,496,527,228,1251,0.3964828137490008,0.4212629896083134,0.18225419664268586,14249.0,4826.0,4392.0
2016-05-15_17,37771,56025,110,917,52,1079,240,470,627,222,1319,0.35633055344958303,0.47536012130401817,0.1683093252463988,14479.0,4920.0,4470.0
2016-05-15_18,38112,56940,98,1007,52,1157,259,472,720,224,1416,0.3333333333333333,0.5084745762711864,0.15819209039548024,14718.0,4988.0,4541.0
2016-05-15_19,38438,57760,103,889,40,1032,233,439,581,245,1265,0.34703557312252964,0.4592885375494071,0.19367588932806323,14943.0,5038.0,4581.0
2016-05-15_20,38728,58469,77,842,45,964,220,371,583,230,1184,0.31334459459459457,0.49239864864864863,0.19425675675675674,15165.0,5105.0,4605.0
2016-05-15_21,39037,59218,112,832,51,995,223,380,629,209,1218,0.31198686371100165,0.5164203612479474,0.17159277504105092,15435.0,5198.0,4662.0
2016-05-15_22,39255,59773,83,599,36,718,144,258,471,133,862,0.29930394431554525,0.5464037122969838,0.154292343387471,15635.0,5236.0,4692.0
2016-05-15_23,39351,60049,25,346,14,385,77,127,273,62,462,0.2748917748917749,0.5909090909090909,0.1341991341991342,15752.0,5244.0,4704.0
2016-05-16_00,39404,60165,13,151,7,171,39,75,104,31,210,0.35714285714285715,0.49523809523809526,0.14761904761904762,15795.0,5254.0,4716.0
2016-05-16_01,39444,60236,5,87,3,95,42,50,73,14,137,0.36496350364963503,0.5328467153284672,0.10218978102189781,15824.0,5260.0,4719.0
2016-05-16_02,39470,60297,2,88,0,90,37,24,49,54,127,0.1889763779527559,0.3858267716535433,0.4251968503937008,15845.0,5266.0,4739.0
2016-05-16_03,39831,60671,0,392,0,392,18,23,361,26,410,0.05609756097560976,0.8804878048780488,0.06341463414634146,15852.0,5271.0,4746.0
